success,status_code,status_message,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,belongs_to_collection.id,belongs_to_collection.name,belongs_to_collection.poster_path,belongs_to_collection.backdrop_path
,,,False,/CX6xcXLU90oGBz0mOxG3eHnZmD.jpg,,0.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",,47866.0,tt0104321,['US'],en,Gas Food Lodging,"Nora, a single mother raising two teenage daughters, Shade and Trudi, waits tables at a truck-stop diner in a small New Mexico town. The beautiful and rebellious Trudi drops out of school and gets a job alongside Nora, while the younger Shade whittles away her time at Spanish movie matinees. Their lives are turned upside down when Trudi becomes pregnant and the girls' absent father returns.",6.726,/pGuoFldLELI38rcf2uleqWlO55r.jpg,"[{'id': 2832, 'logo_path': None, 'name': 'Cineville', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1992-07-10,1345236.0,101.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}]",Released,"When Shade's good, she's very good. But when Trudi's bad, she's better.",Gas Food Lodging,False,6.3,58.0,,,,
,,,False,/sPEqnEZxaA0mPpgRx2E0kaCuRKe.jpg,,0.0,"[{'id': 99, 'name': 'Documentary'}, {'id': 10402, 'name': 'Music'}]",,450570.0,tt6833774,['US'],en,J. Cole: 4 Your Eyez Only,"This documentary follows rapper J. Cole's 2016 HBO concert film feature on the making of his fourth studio album 4 Your Eyez Only. The film Includes musical performances from Cole, as well as stories from low-income residents in cities around the country, such as Baton Rouge, Atlanta, and Cole's hometown of Fayetteville, North Carolina.",0.841,/5Ms6fSNkjDkwjiytpAcICIoWZQp.jpg,"[{'id': 3268, 'logo_path': '/tuomPhY2UtuPTqqFnKMVHvSb724.png', 'name': 'HBO', 'origin_country': 'US'}, {'id': 14914, 'logo_path': '/1RZBWz53SpHUTLpRcM8BGv2plIP.png', 'name': 'HBO Documentary Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-04-15,0.0,49.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,J. Cole: 4 Your Eyez Only,False,9.0,3.0,,,,
,,,True,,,0.0,[],,483693.0,,['US'],en,Filthy First Timers 20,These new first timers are so hot - they really know how to suck and fuck. Pick up this tape and your cock and stroke it all night long.,0.0,/9TzqtSTkzJr8XTI0djk5a9d3IKg.jpg,"[{'id': 6886, 'logo_path': '/s39kM4kT4OCWZ1bopp4hjQXywQY.png', 'name': 'Elegant Angel', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-10-31,0.0,110.0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,,Filthy First Timers 20,False,0.0,0.0,,,,
,,,False,,,0.0,[],,435093.0,tt0264431,['RO'],ro,Blanca,Adaptation after Fat Frumos din tei by Mihai Eminescu,0.302,/z06vPXg0N3BOrQBuF1UwEnDVnxD.jpg,[],"[{'iso_3166_1': 'RO', 'name': 'Romania'}]",1955-01-01,0.0,19.0,"[{'english_name': 'Romanian', 'iso_639_1': 'ro', 'name': 'Română'}]",Released,,Blanca,False,6.0,1.0,,,,
,,,False,,,0.0,[],,833261.0,,['SA'],ar,Once Upon A Revolution,This short film follows a fight against political corruption during the 2019 protests in Beirut.,0.001,/cMvE0RHxaDWcXDSNeDmnxGLAvYt.jpg,[],[],,0.0,15.0,"[{'english_name': 'Arabic', 'iso_639_1': 'ar', 'name': 'العربية'}]",Released,,Once Upon A Revolution,False,0.0,0.0,,,,
,,,False,/5X8WMdJU3znj1EyRIFA3ieFtM6w.jpg,,0.0,[],,761960.0,,['RU'],ru,Пикник: Традиционный весенний концерт,,0.005,/8PWYnrlHZsJ2dQ7FoWqqAWswwRz.jpg,[],[],2014-03-07,0.0,0.0,[],Released,,Пикник: Традиционный весенний концерт,False,0.0,0.0,,,,
,,,False,,,0.0,"[{'id': 18, 'name': 'Drama'}]",,619079.0,tt0043310,['IN'],hi,Bahar,"A singer and dancer par excellence, Lata lives a wealthy lifestyle with her dad, Choudhry Goverdhanlal Patwardhanlal and mom. Her parents would like her to get married to wealthy Shekhar, who she initially approves of. Shortly thereafter she meets with Vasant Kumar and both fall in love with each other. When Shekhar finds out that Lata does not want to marry him, he is enraged and starts to investigate Vasant's background. He finds out that Vasant's real name is Ashok, who is a writer for a magazine 'Bahar, has a relationship with a woman, and also has a son.",1.043,/4sUEZUqoo4sz5Sht2tS4SRvAdmv.jpg,[],"[{'iso_3166_1': 'IN', 'name': 'India'}]",1951-10-26,0.0,170.0,"[{'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Bahar,False,0.0,0.0,,,,
,,,False,/9Zknq7HW6Mmi07h0KaCQyr4Ly60.jpg,,0.0,"[{'id': 16, 'name': 'Animation'}]",,613937.0,tt0348184,['DE'],xx,Tauro,The bull is wild. The man wants to subdue him. Tame him. Eat him. And this since the dawn of time. Tauro - a short film about the second-oldest relationship in human history.,0.001,/zsNfAyg6AukJQvM3nhfpxx3omSd.jpg,[],"[{'iso_3166_1': 'DE', 'name': 'Germany'}]",2002-10-09,0.0,4.0,"[{'english_name': 'No Language', 'iso_639_1': 'xx', 'name': 'No Language'}]",Released,,The Bull,False,0.0,0.0,,,,
,,,False,,,0.0,"[{'id': 99, 'name': 'Documentary'}]",https://www.onlinemoviesmaza.com/movies/rubaru-roshni-2019/,578285.0,tt9663460,['IN'],hi,Rubaru Roshni,"The movie traces three real-life incidents that took place in '80s, 90s and 2000s respectively through the stories titled 'Orphan and the Convict', 'The Farmer and the Nun' and 'The Terror and the Mom'.",1.566,/9skq1v5Uj1fQKCqyrADG55MEuQP.jpg,"[{'id': 2140, 'logo_path': '/yJIGEhIk3yAWAIiZ4p3xEV1dzwR.png', 'name': 'Aamir Khan Productions', 'origin_country': 'IN'}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2019-01-26,0.0,110.0,"[{'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Rubaru Roshni,False,7.7,7.0,,,,
,,,False,,,0.0,"[{'id': 99, 'name': 'Documentary'}]",,388942.0,,"['FR', 'CA']",fr,Les enfants de Refus global,,0.001,/neYB7sOVNOX9u0L1QXI4tNRqdyk.jpg,[],"[{'iso_3166_1': 'CA', 'name': 'Canada'}]",1998-01-03,0.0,74.0,[],Released,,Les enfants de Refus global,False,0.0,0.0,,,,
